# Author: xRuffKez
# This is a phishing list of newly registered domains. The list is part of my threat intelligence feed.
# Total domains: 247
# Newly added domains: 0
# Removed domains: 46
login-hebat99.life # Added: 2024-07-05; Last NS check: 2024-07-05
login-hebat99.live # Added: 2024-07-05; Last NS check: 2024-07-05
login-olx88.life # Added: 2024-07-05; Last NS check: 2024-07-05
login-olx88.live # Added: 2024-07-05; Last NS check: 2024-07-05
login-olx88.shop # Added: 2024-07-05; Last NS check: 2024-07-05
loginapi777.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
loginbakwan.click # Added: 2024-07-05; Last NS check: 2024-07-05
loginbigo55.org # Added: 2024-07-05; Last NS check: 2024-07-05
logindewaterbangzona.bond # Added: 2024-07-05; Last NS check: 2024-07-05
logingajian123.pro # Added: 2024-07-05; Last NS check: 2024-07-05
logingaspoll88.org # Added: 2024-07-05; Last NS check: 2024-07-05
loginindoxlzona.bond # Added: 2024-07-05; Last NS check: 2024-07-05
logininjostoto.style # Added: 2024-07-05; Last NS check: 2024-07-05
loginpentagon88.org # Added: 2024-07-05; Last NS check: 2024-07-05
logins.pro # Added: 2024-07-05; Last NS check: 2024-07-05
loginsenangslot.pro # Added: 2024-07-05; Last NS check: 2024-07-05
loginzonapionbet.click # Added: 2024-07-05; Last NS check: 2024-07-05
lra.amazon # Added: 2024-07-05; Last NS check: 2024-07-05
mail-login.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
map-support.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
media-support.online # Added: 2024-07-05; Last NS check: 2024-07-05
medicaresupport.net # Added: 2024-07-05; Last NS check: 2024-07-05
medsupport.online # Added: 2024-07-05; Last NS check: 2024-07-05
meledak138login.net # Added: 2024-07-05; Last NS check: 2024-07-05
menopausesupport.one # Added: 2024-07-05; Last NS check: 2024-07-05
meta-support.net # Added: 2024-07-05; Last NS check: 2024-07-05
microsofth.info # Added: 2024-07-05; Last NS check: 2024-07-05
microsofto365login.net # Added: 2024-07-05; Last NS check: 2024-07-05
mostbet-www.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
myonlyfanschat.online # Added: 2024-07-05; Last NS check: 2024-07-05
myonlyfanschat.shop # Added: 2024-07-05; Last NS check: 2024-07-05
ofertasamazon.store # Added: 2024-07-05; Last NS check: 2024-07-05
ogames-support.org # Added: 2024-07-05; Last NS check: 2024-07-05
onlyfans.auction # Added: 2024-07-05; Last NS check: 2024-07-05
onlyfans.boutique # Added: 2024-07-05; Last NS check: 2024-07-05
onlyfans.loan # Added: 2024-07-05; Last NS check: 2024-07-05
onlyfans.rodeo # Added: 2024-07-05; Last NS check: 2024-07-05
onlyfansagents.org # Added: 2024-07-05; Last NS check: 2024-07-05
open-support.org # Added: 2024-07-05; Last NS check: 2024-07-05
openaibox.chat # Added: 2024-07-05; Last NS check: 2024-07-05
openair.store # Added: 2024-07-05; Last NS check: 2024-07-05
openaitools.cloud # Added: 2024-07-05; Last NS check: 2024-07-05
